nm_candidato,display_name,ig_handle,fb_handle,uf,ig_status,fb_status,observacoes
MARCEL VAN HATTEM,MARCEL VAN HATTEM,MARCELVANHATTEM,MARCELVH,RS,Validado,Validado,
MARCELO CALERO FARIA GARCIA,MARCELO CALERO,marcelocalero,calero.rio,RJ,Validado,Validado,
MARCELO EDUARDO FREITAS,DELEGADO MARCELO FREITAS,delegadomarcelofreitas,delegadomarcelofreitas,MG,Validado,Validado,
MARCELO GUILHERME DE ARO FERREIRA,MARCELO ARO,marceloaro,marceloaro,MG,Validado,Validado,
MARCELO HENRIQUE TEIXEIRA DIAS,MARCELO ALVARO ANTONIO,marceloalvaroantonio,marceloalvaroantonio,MG,Validado,Validado,
MARCELO PIRES MORAES,MARCELO MORAES,@marcelomoraes_oficial,marcelomoraesrs (ou marcelomoraesoficial),RS,Erro,Erro,
MARCELO RAMOS RODRIGUES,MARCELO RAMOS,@marceloramos.am,,AM,Validado,Erro,O handle do facebook parece desativado marceloramosam
MARCELO RIBEIRO FREIXO,MARCELO FREIXO,marcelofreixo,freixo.marcelo,RJ,Validado,Validado,
MARCIO CARLOS MARINHO,MARCIO MARINHO,deputadomarciomarinho,deputadomarciomarinho,BA,Validado,Validado,
MARCIO COSTA MACÊDO,MARCIO MACÊDO,@marciomacedopt,marciomacedopt,SE,Validado,Validado,
MARCIO DELLA VALLE BIOLCHI,MÁRCIO BIOLCHI,marciobiolchi,deputadobiolchi,RS,Validado,Validado,
MARCIO LUIZ ALVINO DE SOUZA,MARCIO ALVINO,marcioalvino,marcioalvinopr,SP,Validado,Validado,
MARCIO TADEU ANHAIA DE LEMOS,CORONEL TADEU,coroneltadeu,coroneltadeu,SP,Validado,Validado,
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PROFESSORA MARCIVANIA,profmarcivania,profmarcivania,AP,Validado,Validado,
MARCO ANTONIO FELICIANO,PASTOR MARCO FELICIANO,@marcofeliciano,PastorMarcoFeliciano,SP,Validado,Validado,
MARCO AURELIO BERTAIOLLI,MARCO BERTAIOLLI,marco.bertaiolli,marco.bertaiolli,SP,Validado,Validado,
MARCOS ANTONIO PEREIRA,MARCOS PEREIRA,marcospereira1010,marcospereira1010,SP,Validado,Validado,
MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,MARCOS AURELIO SAMPAIO,@marcospsampaio,marcosaureliosampaio,PI,Validado,Validado,
MARCOS ROBERIO RIBEIRO MONTEIRO,ROBÉRIO MONTEIRO,dep.roberiomonteiro,deproberiomonteiro,CE,Validado,Validado,
MARGARETE DE CASTRO COELHO,MARGARETE COELHO,margaretecoelho,margaretecoelho.castro,PI,Validado,Validado,
MARIA AUXILIADORA SEABRA REZENDE,PROFESSORA DORINHA,profdorinha,profdorinha,TO,Validado,Validado,
MARIA DO PARTO MENDES ROSAS,MARIA ROSAS,mariarosas.oficial,mariarosas.oficial,SP,Validado,Validado,
MARIA DO ROSÁRIO NUNES,MARIA DO ROSÁRIO,_mariadorosario,MariaDoRosario13,RS,Validado,Validado,
MARIA MARGARIDA MARTINS SALOMÃO,MARGARIDA SALOMÃO,jfmargarida,jfmargarida,MG,Validado,Validado,
MARIA PERPETUA DE ALMEIDA,PERPETUA ALMEIDA,@perpetua_acre,perpetuaalmeida.acre,AC,Validado,Validado,
