nm_candidato,display_name,ig_handle,fb_handle,uf
MARCEL VAN HATTEM,MARCEL VAN HATTEM,MARCELVANHATTEM,MARCELVH,RS
MARCELO CALERO FARIA GARCIA,MARCELO CALERO,marcelocalero,calero.rio,RJ
MARCELO EDUARDO FREITAS,DELEGADO MARCELO FREITAS,delegadomarcelofreitas,delegadomarcelofreitas,MG
MARCELO GUILHERME DE ARO FERREIRA,MARCELO ARO,,,MG
MARCELO HENRIQUE TEIXEIRA DIAS,MARCELO ALVARO ANTONIO,marceloalvaroantonio,marceloalvaroantonio,MG
MARCELO PIRES MORAES,MARCELO MORAES,,,RS
MARCELO RAMOS RODRIGUES,MARCELO RAMOS,,,AM
MARCELO RIBEIRO FREIXO,MARCELO FREIXO,marcelofreixo,marcelofreixopsol,RJ
MARCIO CARLOS MARINHO,MARCIO MARINHO,deputadomarciomarinho,deputadomarciomarinho,BA
MARCIO COSTA MACÊDO,MARCIO MACÊDO,,,SE
MARCIO DELLA VALLE BIOLCHI,MÁRCIO BIOLCHI,marciobiolchi,deputadobiolchi,RS
MARCIO LUIZ ALVINO DE SOUZA,MARCIO ALVINO,marcioalvino,marcioalvinopr,SP
MARCIO TADEU ANHAIA DE LEMOS,CORONEL TADEU,coroneltadeu,coroneltadeu,SP
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PROFESSORA MARCIVANIA,profmarcivania,profmarcivania,AP
MARCO ANTONIO FELICIANO,PASTOR MARCO FELICIANO,,,SP
MARCO AURELIO BERTAIOLLI,MARCO BERTAIOLLI,marco.bertaiolli,marco.bertaiolli,SP
MARCOS ANTONIO PEREIRA,MARCOS PEREIRA,marcospereira1010,marcospereira1010,SP
MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,MARCOS AURELIO SAMPAIO,,,PI
MARCOS ROBERIO RIBEIRO MONTEIRO,ROBÉRIO MONTEIRO,dep.roberiomonteiro,,CE
MARGARETE DE CASTRO COELHO,MARGARETE COELHO,margaretecoelho,margaretecoelho.castro,PI
MARIA AUXILIADORA SEABRA REZENDE,PROFESSORA DORINHA,profdorinha,ProfessoraDorinha,TO
MARIA DO PARTO MENDES ROSAS,MARIA ROSAS,mariarosas.oficial,depmariarosas,SP
MARIA DO ROSÁRIO NUNES,MARIA DO ROSÁRIO,_mariadorosario,DeputadaMariaDoRosario,RS
MARIA MARGARIDA MARTINS SALOMÃO,MARGARIDA SALOMÃO,jfmargarida,jfmargarida,MG
MARIA PERPETUA DE ALMEIDA,PERPETUA ALMEIDA,,,AC
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,MARIANA CARVALHO,marianacarvalho4545,marianacarvalho4545,RO
MARINA SANTOS BATISTA DIAS,DRA. MARINA,,,PI
MARLON ARATOR SANTOS DA ROSA,MARLON SANTOS,,marlonsantoscachoeira,RS
MARX BELTRÃO LIMA SIQUEIRA,MARX BELTRÃO,,,AL
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,MARÍLIA ARRAES,mariliaarraes,arraes,PE
MAURO NAZIF RASUL,DR. MAURO NAZIF,,,RO
